Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Fees,Attributes
AHS,101,1,B,Wellness,2,11:15 AM - 1:05 PM,T R,Penfound\ Jean E.,,
AHS,101,2,A,Wellness,2,11:35 AM - 12:45 PM,M W F,Daly\ Dana N.,,
AHS,101,3,A,Wellness,2,8:00 AM - 9:10 AM,M W F,Daly\ Dana N.,,
AHS,101,4,B,Wellness,2,8:30 AM - 10:20 AM,T R,Daly\ Dana N.,,
AHS,101,5,B,Wellness,2,11:15 AM - 1:05 PM,T R,Daly\ Dana N.,,
AHS,101,6,B,Wellness,2,11:35 AM - 12:45 PM,M W F,Penfound\ Jean E.,,
AHS,101,7,A,Wellness,2,12:55 PM - 2:05 PM,M W F,Daly\ Dana N.,,
AHS,134,0,,Equestrian Skills,1,TBA,,STAFF,300,
AHS,141,0,A,Skiing - Cross Country,1,TBA,,Kiley\ Ashley P.,,
AHS,273,0,A,Behavioral Medicine,2,11:15 AM - 1:05 PM,T R,Penfound\ Jean E.,,
AHS,281,0,,Biostatistics,4,9:20 AM - 10:30 AM,M W F,Hunt\ Brian E.,,AAQR
AHS,361,0,,Integrative Human Physiology,4,8:00 AM - 9:10 AM,M W F,Hunt\ Brian E.,75,
AHS,368,0,,Concepts in Nutrition,4,1:15 PM - 3:05 PM,T R,Ickes\ Scott B.,,
AHS,371,0,,Clinical Kinesiology,4,7:00 PM - 9:50 PM,M,Alford\ Micah L.,,
AHS,451,0,A,Advanced Human Anatomy,2,8:30 AM - 10:20 AM,T R,Townsend\ Dana K.,,
AHS,494,0,B,Integrative Seminar,2,6:30 PM - 10:00 PM,T,Hunt\ Brian E.,,
AHS,361L,1,,Integrative Physiology Lab,0,7:30 AM - 10:20 AM,T,Penfound\ Jean E.,,
AHS,361L,2,,Integrative Physiology Lab,0,1:15 PM - 4:05 PM,R,Penfound\ Jean E.,,
AHS,361L,3,,Integrative Physiology Lab,0,7:30 AM - 10:20 AM,R,Penfound\ Jean E.,,
AHS,361L,4,,Integrative Physiology Lab,0,1:15 PM - 4:05 PM,T,Penfound\ Jean E.,,
AHS,371L,1,,Clinical Kinesiology Lab,0,5:00 PM - 6:50 PM,R,Alford\ Micah L.,,
AHS,371L,2,,Clinical Kinesiology Lab,0,7:00 PM - 8:50 PM,R,Alford\ Micah L.,,
ANTH,116,1,,Introduction to Anthropology - Freshmen & Sophomores only.,4,8:30 AM - 10:20 AM,T R,Jeske\ Christine R.,,GP\ SI
ANTH,116,2,,Introduction to Anthropology - Freshmen & Sophomores only.,4,1:15 PM - 3:05 PM,T R,Howell\ Brian M.,,GP\ SI
ANTH,310,0,,Food\ Farms\ and Culture,4,1:15 PM - 3:05 PM,T R,Jeske\ Christine R.,,
ANTH,320,0,,Bollywood & Indian Society,4,6:30 PM - 10:00 PM,T,Sadiq\ Yousaf,,
ANTH,353,0,,Biculturalism,4,2:15 PM - 3:25 PM,M W F,Sadiq\ Yousaf,,DUS\ GP
ANTH,361,0,B,Medical Anthropology,2,6:00 PM - 9:30 PM,W,Jeske\ Christine R.,,
ANTH,385,0,,Field Research Methods,4,6:30 PM - 9:45 PM,T,Yoder & Huff,,
ANTH,481,0,A,Anthropological Writing,2,6:00 PM - 9:30 PM,W,Jeske\ Christine R.,,
ANTH,482,0,,Ethnographic Theory and Method,4,11:15 AM - 1:05 PM,T R,Howell\ Brian M.,,
ANTH,494,0,,Senior Capstone,4,8:30 AM - 10:20 AM,T R,Howell\ Brian M.,,
ANTH,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
ANTH,496,0,,Internship,4 OR 8,TBA,,STAFF,,
ARCH,211,0,,OT Archaeology,4,9:20 AM - 10:30 AM,M W F,Miglio\ Adam E.,,
ARCH,365,0,,Statecraft & IR in the ANE,4,11:35 AM - 12:45 PM,M W F,Miglio\ Adam E.,,HP\ SI
ARCH,494,0,B,Senior Seminar,2,6:30 PM - 10:00 PM,W,Miglio\ Adam E.,,
ARCH,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
ART,101,1,B,Art Survey,2,3:15 PM - 5:05 PM,T R,STAFF,,VPAV
ART,101,2,A,Art Survey,2,11:35 AM - 12:45 PM,M W F,Milliner\ Matthew J.,,VPAV
ART,101,3,A,Art Survey,2,11:15 AM - 1:05 PM,T R,Thompson\ Jeffrey P,,VPAV
ART,101,4,B,Art Survey,2,11:15 AM - 1:05 PM,T R,Thompson\ Jeffrey P,,VPAV
ART,101,5,B,Art Survey,2,1:15 PM - 3:05 PM,T R,Thompson\ Jeffrey P,,VPAV
ART,101,6,A,Art Survey,2,1:15 PM - 3:05 PM,T R,Thompson\ Jeffrey P,,VPAV
ART,211,0,,Painting I,3,1:15 PM - 4:15 PM,T R,Lundin\ Cherith,,VPAV
ART,220,0,,Woodblock Printmaking,3,9:00 AM - 12:00 PM,T R,Lundin\ Cherith,,
ART,221,0,,Taking Pictures,3,9:00 AM - 12:00 PM,T R,Schreck\ Gregory H.,,VPAV
ART,231,0,,Sculpture I,3,1:15 PM - 4:15 PM,T R,Woods\ Sarah B.,,VPAV
ART,232,0,,Drawing I,3,1:15 PM - 4:15 PM,T R,Samuelson\ Leah M.,,VPAV
ART,233,0,,Creativity & Design,3,9:00 AM - 12:00 PM,T R,Botts\ Jeremy G.,,
ART,234,0,,Digital Studio,3,1:15 PM - 4:15 PM,T R,Park\ Joonhee,,
ART,241,0,,Sophomore Cornerstone,2,6:00 PM - 9:00 PM,T,Schreck\ Gregory H.,,
ART,300,0,,Landscape Photography,2,9:00 AM - 10:30 AM,M W,Schreck\ Gregory H.,,
ART,318,0,,Graphic Design I,3,12:55 PM - 3:55 PM,M W,Botts\ Jeremy G.,,
ART,324,0,,Digital Photography II,3,12:55 PM - 3:55 PM,M W,Schreck\ Gregory H.,,
ART,325,0,,Cinema,4,2:15 PM - 4:05 PM,M W,Park\ Joonhee,,
ART,336,0,,Ceramics II,3,1:15 PM - 4:15 PM,T R,Hooker\ David J.,,
ART,351,0,,History-Art & Architecture II,4,9:20 AM - 10:30 AM,M W F,Milliner\ Matthew J.,,DUS\ VPAV
ART,429,0,,Community Art II,3,2:00 PM - 8:00 PM,M,Samuelson\ Leah M.,,
ART,492,0,,Comm Art Capstone/Internship,3,TBA,,Samuelson\ Leah M.,,
ART,494,3,,Senior Capstone-Studio,2,6:00 PM - 9:00 PM,M W,Hooker\ David J.,,
ART,494,2,B,Senior Capstone: Art History,2,11:35 AM - 12:45 PM,M W F,Milliner\ Matthew J.,,
ART,495,0,,Independent Projects,1 TO 4,TBA,,STAFF,,
ART,496,0,,Internship,2 TO 8,TBA,,STAFF,,
ASTR,305,2,,Astronomy,4,9:20 AM - 10:30 AM,M W F,Blaauw\ Rhiannon C,,SIP
ASTR,305,1,,Astronomy,4,2:15 PM - 3:25 PM,M W F,Poelarends\ Arend J,,SIP
B EC,226,0,,Prin Of Accountng I,4,11:15 AM - 1:05 PM,T R,Tomal\ Annette H.,,
B EC,227,0,,Principles of Accounting II,4,1:15 PM - 3:05 PM,T R,Tomal\ Annette H.,,
B EC,321,1,,Statistics,4,11:15 AM - 1:05 PM,T R,Makaudze\ Ephias,,
B EC,328,0,B,Business Ethics,2,11:35 AM - 12:45 PM,M W F,Gordon\ James R.,,
B EC,328,2,A,Business Ethics,2,11:35 AM - 12:45 PM,M W F,Gordon\ James R.,,
B EC,341,0,,Principles of Marketing,4,9:20 AM - 10:30 AM,M W F,Stolze\ Hannah J.,,
B EC,342,1,,Principles of Management,4,9:20 AM - 10:30 AM,M W F,Lee\ Min-Dong Paul,,
B EC,342,2,,Principles of Management,4,8:30 AM - 10:20 AM,T R,Jackson\ Christophe,,
B EC,367,0,,Principles of Finance,4,8:00 AM - 9:10 AM,M W F,Norton\ Seth W.,,
B EC,377,0,,Marketing & Supply Chain Strat,4,11:35 AM - 12:45 PM,M W F,Stolze\ Hannah J.,,
B EC,382,0,,Employment Law,2,6:00 PM - 8:00 PM,M,Favaro\ Dennis R.,,
B EC,384,0,,Market Research,4,2:15 PM - 3:25 PM,M W F,Stolze\ Hannah J.,,
B EC,431,0,,Invest Analysis/Capital Mkts,4,9:20 AM - 10:30 AM,M W F,Norton\ Seth W.,,
B EC,493,1,,Business Strategy,2,8:30 AM - 10:20 AM,R,Norton\ Seth W.,,
B EC,493,2,,Business Strategy,2,11:15 AM - 1:05 PM,R,Norton\ Seth W.,,
B EC,494,3,,Senior Seminar,2,11:15 AM - 1:05 PM,T,Lee\ Min-Dong Paul,,
B EC,496,0,,Internship,1 TO 4,TBA,,Bretsen\ Stephen N.,,
BIOL,242,1,,Diversity of Life,4,9:20 AM - 10:30 AM,M W F,Lewis\ Raymond J.,,
BIOL,242,2,,Diversity of Life,4,11:35 AM - 12:45 PM,M W F,Scott\ Rodney J.,,
BIOL,252,1,,Modeling Systems of Life,4,9:20 AM - 10:30 AM,M W,Koo\ Jovanka T.,85,
BIOL,252,2,,Modeling Systems of Life,4,2:15 PM - 3:25 PM,M W,Lewis\ Raymond J.,85,
BIOL,332,0,,Anatomy & Physiology II,4,8:00 AM - 9:10 AM,M W F,Busch\ Jennifer L.,85,
BIOL,356,0,,Genetics,4,2:15 PM - 3:25 PM,M W F,Scott\ Rodney J.,85,
BIOL,368,0,,Invertebrate Zoology,4,9:20 AM - 10:30 AM,M W F,Rorem\ Nadine C.,85,
BIOL,386,0,,Pharmacology,4,9:20 AM - 10:30 AM,M W F,Busch\ Jennifer L.,,
BIOL,461,0,,General Biochemistry,4,12:55 PM - 2:05 PM,M W F,Eggimann\ Becky L.,,
BIOL,494,1,,The Integrated Biologist,2,8:30 AM - 10:20 AM,T,Page\ L. Kristen,,
BIOL,494,2,,The Integrated Biologist,2,1:15 PM - 3:05 PM,T,Page\ L. Kristen,,
BIOL,495,0,,Biological Research,2 OR 4,TBA,,STAFF,100,
BIOL,496,0,,Biology Internship,2 OR 4,TBA,,STAFF,,
BIOL,242L,1,,College Biology II Lab,0,7:30 AM - 10:20 AM,T,Ogilvie\ Coreen B.,,
BIOL,242L,2,,College Biology II Lab,0,1:15 PM - 4:05 PM,T,Rorem & Ogilvie,,
BIOL,242L,3,,College Biology II Lab,0,6:30 PM - 9:20 PM,T,Secker\ Heather L.,,
BIOL,242L,4,,College Biology II Lab,0,7:30 AM - 10:20 AM,R,Ogilvie\ Coreen B.,,
BIOL,242L,5,,College Biology II Lab,0,12:15 PM - 3:05 PM,R,Burden\ Lisa M.,,
BIOL,242L,6,,College Biology II Lab,0,6:30 PM - 9:20 PM,R,Secker\ Heather L.,,
BIOL,242L,7,,College Biology II Lab,0,2:15 PM - 5:05 PM,W,Burden\ Lisa M.,,
BIOL,252L,1,,Biol Systems Lab,0,7:30 AM - 10:20 AM,T R,Koo\ Jovanka T.,,
BIOL,252L,2,,Biol Systems Lab,0,1:15 PM - 4:05 PM,T R,Lewis\ Raymond J.,,
BIOL,332L,1,,Anatomy & Physiology II Lab,0,7:30 AM - 10:20 AM,R,Thom\ Nathaniel J.,,
BIOL,332L,2,,Anatomy & Physiology II Lab,0,1:15 PM - 4:05 PM,R,Thom\ Nathaniel J.,,
BIOL,356L,1,,Genetics Lab,0,7:30 AM - 10:20 AM,T,Scott\ Rodney J.,,
BIOL,356L,2,,Genetics Lab,0,1:15 PM - 4:05 PM,T,Burden\ Lisa M.,,
BIOL,356L,3,,Genetics Lab,0,7:30 AM - 10:20 AM,R,Burden & Scott,,
BIOL,368L,0,,Invertebrate Zoology Lab,0,7:30 AM - 10:20 AM,R,Rorem\ Nadine C.,,
BITH,211,1,,OT Lit & Interpretation,4,12:55 PM - 2:05 PM,M W F,Stanghelle\ Jason S.,,SHAR
BITH,211,2,,OT Lit & Interpretation,4,1:15 PM - 3:05 PM,T R,Master\ Daniel M.,,SHAR
BITH,211,3,,OT Lit & Interpretation,4,11:15 AM - 1:05 PM,T R,Hill\ Andrew E.,,SHAR
BITH,211,4,,OT Lit & Interpretation,4,11:35 AM - 12:45 PM,M W F,Buster\ Aubrey E.,,SHAR
BITH,211,5,,OT Lit & Interpretation,4,8:30 AM - 10:20 AM,T R,Haydon\ Ronald E.,,SHAR
BITH,211,6,,OT Lit & Interpretation,4,9:20 AM - 10:30 AM,M W F,Walton\ John H.,,SHAR
BITH,211,7,,OT Lit & Interpretation,4,6:30 PM - 10:00 PM,T,Higginbotham\ Lanc,,SHAR
BITH,211,8,,OT Lit & Interpretation,4,2:15 PM - 3:25 PM,M W F,Buster\ Aubrey E.,,SHAR
BITH,213,1,,NT Lit & Interpretation,4,8:30 AM - 10:20 AM,T R,Ehorn\ Seth M.,,SHAR
BITH,213,3,,NT Lit & Interpretation,4,11:15 AM - 1:05 PM,T R,Ehorn\ Seth M.,,SHAR
BITH,213,4,,NT Lit & Interpretation,4,12:55 PM - 2:05 PM,M W F,Vlachos\ Chris A.,,SHAR
BITH,213,5,,NT Lit & Interpretation,4,1:15 PM - 3:05 PM,T R,Brendsel\ Daniel J.,,SHAR
BITH,213,6,,NT Lit & Interpretation,4,9:20 AM - 10:30 AM,M W F,Sosa Siliezar\ Carlos,,SHAR
BITH,213,7,,NT Lit & Interpretation,4,6:30 PM - 10:00 PM,T,LeMahieu\ Nathan,,SHAR
BITH,221,0,,OT Lit in Three Traditions,4,8:30 AM - 10:20 AM,T R,Hill\ Andrew E.,,SHAR
BITH,315,1,,Christian Thought,4,8:30 AM - 10:20 AM,T R,Bacote\ Vincent E.,,SHAR
BITH,315,3,,Christian Thought,4,9:20 AM - 10:30 AM,M W F,McGowin\ Emily H.,,SHAR
BITH,315,4,,Christian Thought,4,11:35 AM - 12:45 PM,M W F,Johnson\ Keith L.,,SHAR
BITH,315,5,,Christian Thought,4,6:30 PM - 10:00 PM,R,Lee\ Gregory W.,,SHAR
BITH,315,6,,Christian Thought,4,8:00 AM - 9:10 AM,M W F,McGowin\ Emily H.,,SHAR
BITH,315,7,,Christian Thought,4,2:15 PM - 3:25 PM,M W F,Bruce\ Matthew J.,,SHAR
BITH,315,8,,Christian Thought,4,1:15 PM - 3:05 PM,T R,Jones\ Beth F.,,SHAR
BITH,315,2,,Christian Thought,4,12:55 PM - 2:05 PM,M W F,McGowin\ Emily H.,,SHAR
BITH,322,0,,Theology & the Arts,4,6:30 PM - 10:00 PM,W,McNutt\ David W.,,VPA
BITH,325,0,,Biblical Interp & Hermeneutics,4,11:15 AM - 1:05 PM,T R,Abernethy\ Andrew,,
BITH,332,0,,Ruth & Esther,4,6:30 PM - 10:00 PM,W,Hill\ Andrew E.,,LE
BITH,343,0,A,OT Cultural Environment,2,1:15 PM - 3:05 PM,T R,Walton\ John H.,,
BITH,349,1,A,OT Topics: Christan Fathers,2,11:35 AM - 12:45 PM,M W F,Graves\ Michael W.,,
BITH,349,2,A,OT Topics: Ecclesiastes,2,9:20 AM - 10:30 AM,M W F,Schultz\ Richard L.,,
BITH,349,3,B,OT Topics: Judges,2,9:20 AM - 10:30 AM,M W F,Schultz\ Richard L.,,
BITH,349,4,A,OT Topics: Psalms,2,6:30 PM - 10:00 PM,T,Buster\ Aubrey E.,,
BITH,359,1,,NT Topics: James,4,6:30 PM - 10:00 PM,T,Vlachos\ Chris A.,,
BITH,359,2,A,NT Topics: 1 & 2 Thessalonians,2,9:20 AM - 10:30 AM,M W F,Vlachos\ Chris A.,,
BITH,359,3,B,NT Topics: Acts/Journeys of Paul,2,9:20 AM - 10:30 AM,M W F,Vlachos\ Chris A.,,
BITH,372,0,,Historical Theology,4,1:15 AM - 3:05 PM,T R,Bruce\ Matthew J.,,
BITH,373,0,,Marriage\ Sex and Family,4,11:15 AM - 1:05 PM,T R,Jones\ Beth F.,,
BITH,374,0,,Systematic Theology,4,9:20 AM - 10:30 AM,M W F,Johnson\ Keith L.,,
BITH,375,0,,Christian Ethics,4,2:15 PM - 3:25 PM,M W F,Johnson\ Keith L.,,
BITH,376,0,,Theologies of Transformation,4,6:30 PM - 10:00 PM,T,Bacote\ Vincent E.,,SHAR
BITH,377,2,A,God & Evil,2,8:30 AM - 10:20 AM,T R,McGowin\ Emily H.,,
BITH,393,3,,Liturgy & Worship,4,12:55 PM - 2:05 PM,M W F,Peeler\ Lance J.,,
BITH,394,0,,Christian History:Calvin,4,1:15 PM - 3:05 PM,T R,McNutt\ Jennifer P.,,HP
BITH,443,1,,Hebrew Exegesis: Job,4,8:00 AM - 9:10 AM,M W F,Walton\ John H.,,
BITH,443,2,B,Hebrew Exegesis:1 & 2 Samuel,2,8:30 AM - 10:20 AM,T R,Carroll\ Mark D.,,
BITH,449,0,,New Voices in the OT,4,11:15 AM - 1:05 PM,T R,Carroll\ Mark D.,,
BITH,451,1,,Greek Exegesis,4,12:55 PM - 2:05 PM,M W F,Sosa Siliezar\ Carlos,,
BITH,451,0,,Greek Exegesis:Hebrews,4,1:15 PM - 3:05 PM,T R,Moo\ Douglas J.,,
BITH,452,0,A,NT Criticism,2,12:55 PM - 2:05 PM,M W F,Green\ Gene L.,,
BITH,482,0,,Cappadocian Fathers,4,6:30 PM - 10:00 PM,M,Bruce\ Matthew J.,,
BITH,491,0,,Early Christianity Senior Sem,2,11:15 AM - 1:05 PM,R,Lee\ Gregory W.,,
BITH,494,0,,Senior Seminar,2,8:00 AM - 1:00 PM,,Lee & Peeler,,
BITH,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
BITH,496,0,,Internship,1 TO 4,TBA,,STAFF,,
C E,111,0,A,Foundations of Ministry,2,11:35 AM - 12:45 PM,M W F,Root\ Gerald R.,,
C E,115,0,,Intro to Christian Formation,4,8:30 AM - 10:20 AM,T R,McRay\ Barrett W.,,
C E,216,0,,Discipleship Practicum,1,TBA,,Haase\ Daniel T.,,
C E,222,0,,Transformational Education,4,9:20 AM - 10:30 AM,M W F,Larson\ Mimi L.,,
C E,223,0,,Human Development & Ministry,4,11:35 AM - 12:45 PM,M W F,Larson\ Mimi L.,,SI
C E,226,0,,Christian Spiritual Practices,4,11:15 AM - 1:05 PM,T R,Wilhoit\ James C.,,
C E,231,0,B,Evangelism,2,11:35 AM - 12:45 PM,M W F,Root\ Gerald R.,,
C E,232,0,,Spiritual Guide & Discern,2,7:00 PM - 9:00 PM,R,Haase\ Daniel T.,,
C E,251,0,,Ministry Practicum,0,TBA,,Haase\ Daniel T.,,
C E,339,0,,Compassion & Crisis Ministry,4,11:15 AM - 1:05 PM,T R,McRay\ Barrett W.,,
C E,346,0,,Discipleship,4,6:30 PM - 10:00 PM,T,Schwanda\ Tom,,
C E,360,0,,Classics of Christian Devotion,4,1:15 PM - 3:05 PM,T R,Schwanda\ Tom,,
C E,414,0,A,Min with Children & Families,2,8:30 AM - 10:20 AM,T R,Larson\ Mimi L.,,
C E,461,1,B,Leadership-Christian Ministry,2,11:15 AM - 1:05 PM,T R,Sveen\ David E.,,
C E,474,0,,Integrative Leadership Seminar,2,8:00 AM - 4:00 PM,TWRF,Robinson\ Gregory S.,,
C E,494,0,,Senior Capstone,4,1:15 PM - 3:05 PM,T R,Haase & Barwegen,,
C E,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,
C E,496,0,,Internship,0,TBA,,Haase\ Daniel T.,,
CHEM,212,0,,Everyday Chemistry,4,2:15 PM - 3:25 PM,M W F,Umesiri\ Francis E.,,SP
CHEM,232,1,,General Chemistry II,4,8:00 AM - 9:05 AM,M W F,Lane\ Lori B.,,
CHEM,232,3,,General Chemistry II,4,2:15 PM - 3:25 PM,M W F,Burden\ Daniel L.,,
CHEM,232,2,,General Chemistry II,4,12:55 PM - 2:05 PM,M W F,Lane\ Lori B.,,
CHEM,294,0,,Chemistry Colloquium,1,6:45 PM - 7:35 PM,T,Burden\ Daniel L.,,
CHEM,336,0,,Inorganic Chemistry,4,11:35 AM - 12:45 PM,M W F,Lovaasen\ Benjamin,95,
CHEM,342,1,,Organic Chemistry II,4,8:00 AM - 9:10 AM,M W F,Dick\ Allison R.,95,
CHEM,342,2,,Organic Chemistry II,4,11:35 AM - 12:45 PM,M W F,Umesiri\ Francis E.,95,
CHEM,372,0,,Physical Chemistry II,2,9:20 AM - 10:30 AM,W F,Walhout\ Peter K.,,
CHEM,436,0,B,Physical Inorganic Chemistry,2,12:55 PM - 2:05 PM,M W F,Lovaasen\ Benjamin,,
CHEM,437,0,A,Organometallic Chemistry,2,12:55 PM - 2:05 PM,M W F,Lovaasen\ Benjamin,,
CHEM,455,0,,Adv Analytcl Chem I,2,11:15 AM - 12:05 PM,R,Burden\ Daniel L.,95,
CHEM,461,0,,General Biochemistry,4,12:55 PM - 2:05 PM,M W F,Eggimann\ Becky L.,,
CHEM,463,0,,Biochemistry Analysis,2,11:15 AM - 12:05 PM,T,Eggimann\ Becky L.,95,
CHEM,475,0,,Meth Physical Chem,2,9:20 AM - 10:30 AM,M,Walhout\ Peter K.,95,
CHEM,485,0,,Synthesis And Analysis,2,2:15 PM - 5:05 PM,F,Dick\ Allison R.,95,
CHEM,485,0,,Synthesis And Analysis,2,2:15 PM - 5:05 PM,M,Dick\ Allison R.,95,
CHEM,495,0,,Independent Research,2 OR 4,TBA,,STAFF,95,
CHEM,496,0,,Internship,1 TO 4,TBA,,STAFF,,
CHEM,212L,2,,Everyday Chemistry Lab,0,6:45 PM - 9:35 PM,M,Lovaasen\ Benjamin,,
CHEM,232L,1,,General Chemistry II Lab,0,1:15 PM - 4:05 PM,T,Burden\ Daniel L.,,
CHEM,232L,2,,General Chemistry II Lab,0,6:45 PM - 9:35 PM,T,Lane\ Lori B.,,
CHEM,232L,3,,General Chemistry II Lab,0,2:15 PM - 5:05 PM,W,Funck\ Larry L.,,
CHEM,232L,4,,General Chemistry II Lab,0,6:45 PM - 9:35 PM,W,Funck\ Larry L.,,
CHEM,232L,5,,General Chemistry II Lab,0,7:30 AM - 10:20 AM,R,Lane\ Lori B.,,
CHEM,232L,6,,General Chemistry II Lab,0,12:15 PM - 3:05 PM,R,Lane\ Lori B.,,
CHEM,232L,7,,General Chemistry II Lab,0,6:45 PM - 9:35 PM,R,Eggimann\ Becky L.,,
CHEM,336L,0,,Inorganic Chem Lab,0,1:15 PM - 4:05 PM,R,Lovaasen\ Benjamin,,
