CRN,Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Room,Fees,Attributes
80002,BIOL,201,0,,Principles of Biology,4,12:55 PM - 2:05 PM,M W F,"Burden, Lisa M.",MEY 265,,SP
80003,BIOL,241,1,,Organization of Life,4,9:20 AM - 10:30 AM,M W F,"Thom, Nathaniel J.",MEY 145,,SP
80004,BIOL,201L,0,,Princ Biology Lab,0,1:15 PM - 4:05 PM,R,"Burden, Lisa M.",MEY 205,,
80005,BIOL,241,2,,Organization of Life,4,11:35 AM - 12:45 PM,M W F,"Thom, Nathaniel J.",MEY 145,,SP
80006,BIOL,241L,1,,College Biology I Lab,0,7:30 AM - 10:20 AM,T,"Ogilvie, Coreen B.",MEY 203,,
80007,BIOL,241L,2,,College Biology I Lab,0,1:15 PM - 4:05 PM,T,"Burden, Lisa M.",MEY 203,,
80008,BIOL,241L,3,,College Biology I Lab,0,6:30 PM - 9:20 PM,T,"Secker, Heather L.",MEY 203,,
80009,BIOL,241L,4,,College Biology I Lab,0,7:30 AM - 10:20 AM,R,"Befus, Matthew A.",MEY 203,,
80010,BIOL,241L,5,,College Biology I Lab,0,12:15 PM - 3:05 PM,R,"Befus, Matthew A.",MEY 203,,
80011,BIOL,241L,6,,College Biology I Lab,0,6:30 PM - 9:20 PM,R,"Secker, Heather L.",MEY 203,,
80012,BIOL,241L,7,,College Biology I Lab,0,2:15 PM - 5:05 PM,W,"Secker, Heather L.",MEY 203,,
80013,BIOL,243,0,,Processes of Life,4,11:35 AM - 12:45 PM,M W F,"Page, L. Kristen",MEY 217,,
80014,BIOL,243L,1,,Ecology & Evolution Lab,0,7:30 AM - 10:20 AM,R,"Page, L. Kristen",MEY 247,85,
80016,BIOL,252,1,,Modeling Systems of Life,4,9:20 AM - 10:30 AM,M W,"Rorem, Nadine C.",MEY 255,,
80017,BIOL,252L,1,,Biol Systems Lab,0,7:30 AM - 10:20 AM,T R,"Rorem, Nadine C.",MEY 245,85,
80019,BIOL,331,0,,Anatomy & Physiology I,4,8:00 AM - 9:10 AM,M W F,"Busch, Jennifer L.",MEY 217,,
80020,BIOL,331L,1,,Anatomy & Physiology I Lab,0,7:30 AM - 10:20 AM,R,"Busch, Jennifer L.",MEY 225,85,
80021,BIOL,331L,2,,Anatomy & Physiology I Lab,0,1:15 PM - 4:05 PM,R,"Busch, Jennifer L.",MEY 225,85,
80022,BIOL,364,0,,Microbiology & Immunology,4,9:20 AM - 10:30 AM,M W F,"Koo, Jovanka T.",MEY 217,,
80023,BIOL,364L,1,,Micro/Immunology Lab,0,7:30 AM - 10:20 AM,T,"Koo, Jovanka T.",MEY 227,85,
80025,BIOL,364L,3,,Micro/Immunology Lab,0,6:30 PM - 9:20 PM,T,"Koo, Jovanka T.",MEY 227,85,
80026,BIOL,494,0,,The Integrated Biologist,2,1:15 PM - 3:05 PM,R,"Page, L. Kristen",MEY 255,,
80027,BIOL,495,0,,Biological Research,2 OR 4,TBA,,STAFF,,100,
80028,BIOL,496,0,,Biology Internship,2 OR 4,TBA,,STAFF,,,
80034,CORE,101,1,,FYS-Biology & Glory of God,4,11:15 AM - 1:05 PM,T R,"Rorem, Nadine C.",MEY 255,,
80035,ENVR,221,0,,"Intro to Environmental ScienceFreshmen & Sophomores only",4,2:15 PM - 3:25 PM,M W F,"Tagne, Gilles V.",MEY 043,40,SP
80036,ENVR,221L,1,,Intro to Envir Science Lab,0,7:30 AM - 10:20 AM,R,"Tagne, Gilles V.",MEY 063,,
80037,ENVR,221L,2,,Intro to Envir Science Lab,0,1:15 PM - 4:05 PM,R,"Tagne, Gilles V.",MEY 063,,
80038,ENVR,495,0,,Environmental Sci Research,2 TO 4,TBA,,STAFF,,,
80039,ENVR,496,0,,Internship,2 TO 4,TBA,,"Keil, Charles B.",,,
80040,CORE,101,2,,FYS-Living in God's Creation,4,9:20 AM - 10:30 AM,M W F,"Keil, Charles B.",MEY 045,,
80042,GEOL,211,1,,Exploring the Dynamic Earth,4,9:20 AM - 10:30 AM,M W F,"Maneiro, Kathryn A.",MEY 021,35,SP
80043,GEOL,211,2,,Exploring the Dynamic Earth,4,2:15 PM - 3:25 PM,M W F,"Heidlauf, Lisa E.",MEY 145,35,SP
80044,GEOL,211L,1,,Dynamic Earth Lab,0,8:30 AM - 10:20 AM,T,"Luhmann, Andrew J.",MEY 043,,
80045,GEOL,211L,2,,Dynamic Earth Lab,0,11:15 AM - 1:05 PM,T,"Heidlauf, Lisa E.",MEY 043,,
80046,GEOL,211L,3,,Dynamic Earth Lab,0,1:15 PM - 3:05 PM,T,"Heidlauf, Lisa E.",MEY 043,,
80048,GEOL,211L,5,,Dynamic Earth Lab,0,11:15 AM - 1:05 PM,R,"Luhmann, Andrew J.",MEY 043,,
80049,GEOL,211L,6,,Dynamic Earth Lab,0,1:15 PM - 3:05 PM,R,"Heidlauf, Lisa E.",MEY 043,,
80050,GEOL,371,0,B,GIS,2,11:35 AM - 12:45 PM,M W F,"Tagne, Gilles V.",MEY 061,,
80051,GEOL,371L,1,B,GIS Lab,0,11:15 AM - 1:05 PM,T,"Tagne, Gilles V.",MEY 061,25,
80053,GEOL,494,0,,Seminar Seminar Geology,2,1:15 PM - 3:05 PM,R,"Moshier, Stephen O.",MEY 042,,
80054,GEOL,495,0,,Problems In Geology,1 TO 4,TBA,,STAFF,,,
80055,GEOL,496,0,,Internship,1 TO 4,TBA,,STAFF,,,
80061,GEOL,307,0,,"Water, The Essential Resource",4,1:15 PM - 3:05 PM,T R,"Luhmann, Andrew J.",MEY 049,25,SIP
80062,CORE,101,3,,FYS-Living in God's Creation,4,11:35 AM - 12:45 PM,M W F,"Keil, Charles B.",MEY 045,,
80063,CORE,101,4,,FYS-Where Do We Come From?,4,2:15 PM - 3:25 PM,M W F,"Moshier, Stephen O.",MEY 045,,
80064,AHS,101,1,A,Wellness,2,8:00 AM - 9:10 AM,M W F,"Daly, Dana N.",CHR 223,,
80065,AHS,101,2,B,Wellness,2,8:30 AM - 10:20 AM,T R,"Penfound, Jean E.",CHR 223,,
80066,AHS,101,3,B,Wellness,2,11:35 AM - 12:45 PM,M W F,"Daly, Dana N.",CHR 223,,
80067,AHS,101,4,B,Wellness,2,11:15 AM - 1:05 PM,T R,"Penfound, Jean E.",CHR 223,,
80068,AHS,101,5,B,Wellness,2,12:55 PM - 2:05 PM,M W F,"Daly, Dana N.",CHR 223,,
80069,AHS,101,6,A,Wellness,2,9:20 AM - 10:30 AM,M W F,"Daly, Dana N.",CHR 223,,
80070,AHS,101,7,A,Wellness,2,8:30 AM - 10:20 AM,T R,"Daly, Dana N.",CHR 223,,
80071,AHS,101,8,B,Wellness,2,9:20 AM - 10:30 AM,M W F,"Penfound, Jean E.",CHR 223,,
80072,AHS,101,9,A,Wellness,2,1:15 PM - 3:05 PM,T R,"Daly, Dana N.",CHR 223,,
80073,AHS,101,10,B,Wellness,2,2:15 PM - 3:25 PM,M W F,"Daly, Dana N.",CHR 223,,
80076,AHS,273,0,A,Behavioral Medicine,2,11:15 AM - 1:05 PM,T R,"Penfound, Jean E.",CHR 223,,
80077,AHS,351,0,,Human Anatomy,4,12:55 PM - 2:05 PM,M W F,"Townsend, Dana K.",MEY 021,,
80078,AHS,351L,1,,Functional Human Anat Lab,0,7:30 AM - 10:20 AM,T,"Townsend, Dana K.",MEY 011,150,
80079,AHS,351L,2,,Functional Human Anat Lab,0,7:30 AM - 10:20 AM,R,"Townsend, Dana K.",MEY 011,150,
80081,AHS,351L,4,,Functional Human Anat Lab,0,1:15 PM - 4:05 PM,R,"Townsend, Dana K.",MEY 011,150,
80082,AHS,351L,5,,Functional Human Anat Lab,0,6:30 PM - 9:20 PM,M,"Townsend, Dana K.",MEY 011,150,
80083,AHS,381,0,,Concepts in Epidemiology,4,2:15 PM - 3:25 PM,M W F,"Bubu, O. Michael",BGC 140,,
80084,AHS,452L,1,,Applied Physiology Lab,0,8:30 AM - 10:20 AM,T,"Hunt, Brian E.",MEY 111,75,
80085,AHS,452L,2,,Applied Physiology Lab,0,8:30 AM - 10:20 AM,R,"Hunt, Brian E.",MEY 111,75,
80086,AHS,452L,3,,Applied Physiology Lab,0,6:45 PM - 8:35 PM,R,"Hunt, Brian E.",MEY 111,75,
80087,AHS,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80088,AHS,496,0,,Internship,4 TO 8,TBA,,"Hunt, Brian E.",,,
80090,AHS,452,0,,Applied Physiology,4,8:00 AM - 9:10 AM,M W F,"Hunt, Brian E.",BLANCH 339,,
80091,COMM,101,1,A,Public Speaking,2,9:20 AM - 10:30 AM,M W F,"Schuchardt, Read M.",BGC 011,,COMP
80092,COMM,101,2,B,Public Speaking,2,9:20 AM - 10:30 AM,M W F,"Schuchardt, Read M.",BGC 011,,COMP
80093,COMM,101,3,A,Public Speaking,2,11:35 AM - 12:45 PM,M W F,"Mangin, Katy A.",BGC 011,,COMP
80094,COMM,101,4,B,Public Speaking,2,11:35 AM - 12:45 PM,M W F,"Mangin, Katy A.",BGC 011,,COMP
80097,COMM,101,7,A,Public Speaking,2,8:30 AM - 10:20 AM,T R,"Liu, Esther H.",BGC 011,,COMP
80098,COMM,201,1,,Fundmntls Oral Communication,4,11:15 AM - 1:05 PM,T R,"Sietman, Rebecca B.",BGC 012,,COMP
80100,COMM,215,0,,Journalism,4,8:00 AM - 9:10 AM,M W F,"Morgan, Timothy C.",BGC 011,,
80101,COMM,219,0,,Journalism Co-Curricular,0,TBA,,"Morgan, Timothy C.",,,
80102,COMM,221,1,,Interpersonal Comm,4,1:15 PM - 3:05 PM,T R,"Liu, Esther H.",BGC 012,,
80105,COMM,241,0,,Media Studies,4,11:35 AM - 12:45 PM,M W F,"Schuchardt, Read M.",BGC 010,,
80106,COMM,246,0,,Media Production,4,8:30 AM - 10:20 AM,T R,"Park, Joonhee",ADAMS 311,,
80107,COMM,252,0,,Argument & Debate,4,1:15 PM - 3:05 PM,T R,"Sietman, Rebecca B.",BGC 010,,COMP
80108,COMM,253,0,,"Messages, Influence & Culture",4,9:20 AM - 10:30 AM,M W F,"Hill, Theon E.",BGC 263,,DUS
80109,COMM,271,0,,Theater Survey,4,11:15 AM - 1:05 PM,T R,"Stauffer, Michael E.",JENKS 103,100,VPAT
80110,COMM,296,0,,Journalism Practicum,2 TO 4,TBA,,"Morgan, Timothy C.",,,
80111,COMM,301,0,,Communication Theory,4,11:35 AM - 12:45 PM,M W F,"Langan, Emily J.",BGC 130,,
80112,COMM,312,0,,Communication Criticism,4,6:30 PM - 10:00 PM,W,"Hill, Theon E.",BGC 263,,
80113,COMM,345,0,,Narrative Media,4,2:15 PM - 4:05 PM,M W,"Park, Joonhee",ADAMS 312,,
80114,COMM,373,0,,Theater Workout,0,4:15 PM - 5:30 PM,T R,"Lewis, Mark N.",JENKS STZN,,
80115,COMM,374,0,,Directing,4,1:15 PM - 3:05 PM,T R,"Stauffer, Michael E.",JENKS STZN,100,
80116,COMM,393,0,,Intercollegiate Debate,0,TBA,,"Sietman, Rebecca B.",,,
80117,COMM,424,0,B,Bargaining & Negotiation,2,11:15 AM - 1:05 PM,T R,"Liu, Esther H.",BGC 263,,
80120,COMM,473,0,,Acting Shakespeare,4,11:15 AM - 1:05 PM,T R,"Bell, Kailey B.",JENKS STZN,,
80122,COMM,494,0,B,Senior Seminar,2,2:15 PM - 3:25 PM,M W F,"Chase, Kenneth R.",BGC 263,,
80123,COMM,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80124,COMM,496,0,,Internship,2 TO 4,TBA,,STAFF,,,
80125,COMM,498,0,,Journalism internship,2 OR 4,TBA,,"Morgan, Timothy C.",,,
80126,CORE,101,5,,FYS-Happily Ever After?,4,8:30 AM - 10:20 AM,T R,"Shaffer, Clinton S.",MSC 120,,
80127,CORE,101,6,,FYS-Spiritual Practices,4,1:15 PM - 3:05 PM,T R,Wilhoit & Eggimann,BGC 134,,
80128,CORE,101,7,,FYS-Chivalry & Good Life,4,11:15 AM - 1:05 PM,T R,"Henley, Grant H.",MSC 120,,
80129,CORE,101,8,,FYS-Place Matters,4,11:15 AM - 1:05 PM,T R,"Johnson, Karen J.",ARM 252,,
80130,CSCI,235,0,,Programming I: Problem Solving,4,11:35 AM - 12:45 PM,M W F,"Kim, Hyunju",MEY 184,,AAQR
80131,CSCI,235L,1,,Programming I Lab,0,8:30 AM - 10:20 AM,R,"Kim, Hyunju",MEY 154,,
80132,CSCI,235L,2,,Programming I Lab,0,1:15 PM - 3:05 PM,R,"Kim, Hyunju",MEY 154,,
80133,CSCI,243,0,,Discrete Math/Functional Prog,4,2:15 PM - 3:25 PM,M W F,"VanDrunen, Thomas J.",MEY 131,,AAQR
80134,CSCI,245,0,,Programming II: OO Design,4,11:35 AM - 12:45 PM,M W F,"Pohly, Devin J.",MEY 129,,
80135,CSCI,245L,0,,Programming II Lab,0,1:15 PM - 3:05 PM,T,"Pohly, Devin J.",MEY 154,,
80136,CSCI,351,0,,Intro to Computer Systems,4,9:20 AM - 10:30 AM,M W F,"Pohly, Devin J.",MEY 131,,
80144,MATH,131,0,,Precalculus,4,12:55 PM - 2:05 PM,M W F,STAFF,MEY 143,,AAQR
80145,MATH,125,0,,Elm and Middle Gr Educ Math,4,11:35 AM - 12:45 PM,M W F,"Vanderschoot, Mary H.",MEY 143,,
80146,MATH,231,1,,Calculus I,4,11:35 AM - 12:45 PM,M W F,"Perciante, Terence H.",MEY 133,,AAQR
80147,MATH,231,2,,Calculus I,4,12:55 PM - 2:05 PM,M W F,"Lovett, Stephen T.",MEY 133,,AAQR
80148,MATH,231L,1,,Drill,0,8:30 AM - 10:20 AM,R,"Isihara, Paul",MEY 131,,
80149,MATH,231L,2,,Drill,0,11:15 AM - 1:05 PM,R,"Vanderschoot, Mary H.",MEY 131,,
80150,MATH,231L,3,,Drill,0,1:15 PM - 3:05 PM,R,"Diedrichs, Danilo R.",MEY 131,,
80151,MATH,232,1,,Calculus II,4,12:55 PM - 2:05 PM,M W F,"Brabenec, Robert L.",MEY 129,,
80153,MATH,232L,1,,Drill,0,8:30 AM - 10:20 AM,R,"Isihara, Paul",MEY 129,,
80154,MATH,232L,2,,Drill,0,11:15 AM - 1:05 PM,R,"Vanderschoot, Mary H.",MEY 129,,
80155,MATH,232L,3,,Drill,0,1:15 PM - 3:05 PM,R,"Diedrichs, Danilo R.",MEY 129,,
80156,MATH,233,1,B,Calculus I B,2,11:35 AM - 12:45 PM,M W F,"Perciante, Terence H.",MEY 133,,AAQR
80157,MATH,233,2,B,Calculus I B,2,12:55 PM - 2:05 PM,M W F,"Lovett, Stephen T.",MEY 133,,AAQR
80158,MATH,233L,1,B,Drill,0,8:30 AM - 10:20 AM,R,"Isihara, Paul",MEY 131,,
80159,MATH,233L,2,B,Drill,0,11:15 AM - 1:05 PM,R,"Vanderschoot, Mary H.",MEY 131,,
80160,MATH,233L,3,B,Drill,0,1:15 PM - 3:05 PM,R,"Diedrichs, Danilo R.",MEY 131,,
80161,MATH,234,0,A,Calculus II B,2,2:15 PM - 3:25 PM,M W F,"Diedrichs, Danilo R.",MEY 184,,
80162,MATH,243,0,,Discrete Math & Funct Program,4,2:15 PM - 3:25 PM,M W F,"VanDrunen, Thomas J.",MEY 131,,AAQR
80163,MATH,245,0,,Linear Algebra,4,11:35 AM - 12:45 PM,M W F,"Diedrichs, Danilo R.",MEY 131,,
80164,MATH,301,0,,Intro to Upper-Level Math,2,8:30 AM - 10:20 AM,R,"Diedrichs, Danilo R.",MEY 184,,
80166,MATH,331,0,B,Vector Calculus,2,2:15 PM - 3:25 PM,M W F,"Diedrichs, Danilo R.",MEY 133,,
80167,MATH,333,0,,Differential Equations,4,9:20 AM - 10:30 AM,M W F,"Vanderschoot, Mary H.",MEY 133,,
80168,MATH,351,0,,Analysis I,4,9:20 AM - 10:30 AM,M W F,"Brabenec, Robert L.",MEY 129,,
80169,MATH,385,0,,MATLAB Modeling,4,12:55 PM - 2:05 PM,M W F,"Isihara, Paul",MEY 184,,
80171,MATH,494,2,,Senior Seminar-Applied Math,2,8:30 AM - 10:20 AM,T,"Isihara, Paul",MEY 143,,
80175,IR,155,1,,Comparative Politics,4,8:00 AM - 9:10 AM,M W F,"Alexander, Kathryn J.",MSC 202,,"GP, SI"
80178,IR,379,0,,Int'l Political Economy,4,9:20 AM - 10:30 AM,M W F,"Taylor, Timothy W.",MSC 204,,
80179,IR,495,0,,Independent Study,2 TO 4,TBA,,STAFF,,,
80180,IR,496,0,,Internship,4,TBA,,"McGraw, Bryan T.",,,
80181,PSCI,135,0,,American Politics and Gov't,4,11:35 AM - 12:45 PM,M W F,"Black, Amy E.",MSC 103,,SI
80184,PSCI,236,0,,Intercollegiate Trial Advocacy,0,6:30 PM - 10:00 PM,T,"Locke, Brooks D.",MSC 103,,
80185,PSCI,271,0,A,Introduction to Law,2,12:55 PM - 2:05 PM,M W F,"Bretsen, Stephen N.",MSC 302,,
80187,PSCI,494,0,A,Senior Seminar,2,1:15 PM - 3:05 PM,T R,"McGraw, Bryan T.",MSC 204,,
80188,PSCI,495,0,,Independent Study,2 TO 4,TBA,,STAFF,,,
80189,PSCI,496,0,,Internship,4,TBA,,"McGraw, Bryan T.",,,
80193,IR,175,2,,International Politics,4,9:20 AM - 10:30 AM,M W F,"McKoy, Michael K.",MSC 202,,SI
80196,IR,494,0,A,Senior Seminar,2,2:15 PM - 3:25 PM,M W F,"McKoy, Michael K.",MSC 204,,
80197,CORE,101,9,,FYS-Freedom,4,12:55 PM - 2:05 PM,M W F,"McGraw, Bryan T.",MSC 204,,
80198,CORE,101,10,,FYS-Accounting for Beauty,4,11:15 AM - 1:05 PM,T R,"O'Connor, Robert C.",ARM 145,,
80199,ART,101,1,B,Art Survey,2,12:55 PM - 2:45 PM,M W,STAFF,ADAMS 301,,VPAV
80200,ART,101,2,A,Art Survey,2,1:15 PM - 3:05 PM,T R,STAFF,ADAMS 301,,VPAV
80201,ART,101,3,B,Art Survey,2,1:15 PM - 3:05 PM,T R,STAFF,ADAMS 301,,VPAV
80202,ART,101,4,A,Art Survey,2,12:55 PM - 2:45 PM,M W,STAFF,ADAMS 301,,VPAV
80204,ART,211,0,,"Painting IFreshmen & Sophomores only.",3,12:55 PM - 3:55 PM,M W,"Lundin, Cherith",ADAMS 111,,VPAV
80206,ART,232,1,,Drawing I,3,9:00 AM - 12:00 PM,T R,STAFF,ADAMS 309,,VPAV
80208,ART,233,0,,Creativity & Design,3,9:00 AM - 12:00 PM,T R,"Hooker, David J.",ADAMS 101,,
80211,ART,251,0,,"History-Art & Architecture IArt majors & minors only",4,11:15 AM - 1:05 PM,T R,STAFF,ADAMS 301,,"GP, HP"
80213,ART,318,0,,Graphic Design I,3,1:15 PM - 4:15 PM,T R,"Botts, Jeremy G.",ADAMS 106,,
80214,ART,329,0,,Community Art I,3,1:15 PM - 4:15 PM,T R,"Zakrajsek, Molly Z.",ADAMS 101,,
80215,ART,383,0,,Digital Photography I,3,12:55 PM - 3:55 PM,M W,"Schreck, Gregory H.",ADAMS 213,,
80217,ART,495,0,,Independent Projects,1 TO 4,TBA,,STAFF,,,
80218,ART,496,0,,Internship,2 TO 8,TBA,,"Botts, Jeremy G.",,,
80226,ANTH,116,1,,"Introduction to AnthropologyFreshmen or sophomores only",4,11:35 AM - 12:45 PM,M W F,"Tooley, Christa B.",BLANCH 222,,"GP, SI"
80227,ANTH,116,2,,"Introduction to AnthropologyFreshmen or sophomores only",4,1:15 PM - 3:05 PM,T R,"Howell, Brian M.",BLANCH 222,,"GP, SI"
80228,ANTH,353,0,,Biculturalism,4,11:15 AM - 1:05 PM,T R,"Sadiq, Yousaf",BLANCH 272,,"DUS, GP"
80229,ANTH,376,0,,Culture Theory,4,8:30 AM - 10:20 AM,T R,"Jeske, Christine R.",BLANCH 273,,
80231,ANTH,496,0,,Internship,4 OR 8,TBA,,STAFF,,,
80232,SOC,115,1,,Intro to Sociology,4,8:00 AM - 9:10 AM,M W F,"Kim, Henry H.",BLANCH 222,,"DUS, SI"
80234,SOC,115,2,,Intro to Sociology,4,11:35 AM - 12:45 PM,M W F,"Allen, Henry L.",BLANCH 272,,"DUS, SI"
80235,SOC,241,0,,Social Psychology,4,1:15 PM - 3:05 PM,T R,"Hannah, Darlene B.",BGC 250,,SI
80236,SOC,337,0,,Racial and Ethnic Relations,4,12:55 PM - 2:05 PM,M W F,"Kim, Henry H.",BLANCH 272,,DUS
80237,SOC,347,0,,Gender & Society,4,9:20 AM - 10:30 AM,M W F,"Reynolds, Amy M.",BLANCH 273,,
80241,SOC,383,0,,Statistics,4,11:15 AM - 1:05 PM,T R,"Miller, Brian J.",BLANCH 139,,AAQR
80242,ANTH,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80243,SOC,496,0,,Internship in Sociology,4 OR 8,TBA,,STAFF,,,
80244,SWEL,331,0,A,Intro Social Welfare,2,6:30 PM - 10:00 PM,T,"Dreisbach, Joyanna",BLANCH 272,,
80245,SWEL,332,0,B,Human Services Practice,2,6:30 PM - 10:00 PM,T,"Dreisbach, Joyanna",BLANCH 272,,
80246,SWEL,496,0,,Social Work Internship,4 OR 8,TBA,,STAFF,,,
80249,CORE,101,12,,FYS-Culture & the Good Life,4,8:30 AM - 10:20 AM,T R,"Howell, Brian M.",BLANCH 272,,
80250,CORE,101,13,,FYS-The Suburban Good Life,4,8:30 AM - 10:20 AM,T R,"Miller, Brian J.",BLANCH 440,,
80253,PHIL,101,1,,Introduction to Philosophy,4,3:15 PM - 5:05 PM,T R,"Wood, W. Jay",BLANCH 125,,PI
80254,PHIL,101,2,,Introduction to Philosophy,4,9:20 AM - 10:30 AM,M W F,"Gordon, James R.",BLANCH 125,,PI
80255,PHIL,101,3,,Introduction to Philosophy,4,12:55 PM - 2:05 PM,M W F,"Fletcher, David B.",BLANCH 125,,PI
80257,PHIL,101,5,,Introduction to Philosophy,4,8:00 AM - 9:10 AM,M W F,"Gordon, James R.",BLANCH 125,,PI
80258,PHIL,216,0,A,Philosophy of The Arts,2,6:30 PM - 10:00 PM,T,"McNutt, David W.",BLANCH 125,,
80259,PHIL,241,0,,Suffering,4,11:15 AM - 1:05 PM,T R,"Talbot, Mark R.",BLANCH 125,,PI
80260,PHIL,243,0,A,Intro To Logic,2,9:20 AM - 10:30 AM,M W F,"O'Connor, Robert C.",BLANCH 139,,
80261,PHIL,245,0,,Logic,4,9:20 AM - 10:30 AM,M W F,"O'Connor, Robert C.",BLANCH 139,,AAQR
80263,PHIL,311,0,,Hist Of Philosophy,4,11:35 AM - 12:45 PM,M W F,"Wood, Adam N.",BLANCH 339,,
80264,PHIL,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80265,PHIL,496,0,,Internship,2 OR 4,TBA,,STAFF,,,
80266,CORE,101,14,,FYS-Why Do We Suffer?,4,11:35 AM - 12:45 PM,M W F,"Borden, Sarah R.",BLANCH 323,,
80267,CORE,101,15,,FYS-Why Do We Suffer?,4,12:55 PM - 2:05 PM,M W F,"Borden, Sarah R.",BLANCH 472,,
80268,PHIL,105,1,,Race & Justice,4,11:15 AM - 1:05 PM,T R,"Cartagena, Nathan L.",JENKS 205,,"DUS, PI"
80269,PHIL,105,2,,Race & Justice,4,8:30 AM - 10:20 AM,T R,"Cartagena, Nathan L.",MSC 103,,"DUS, PI"
80272,PHIL,255,1,,Existentialism,4,8:30 AM - 10:20 AM,T R,"Kemp, Ryan S.",BLANCH 124,,"LE, PI"
80282,B EC,226,1,,Prin Of Accountng I,4,11:15 AM - 1:05 PM,T R,"Tomal, Annette H.",MSC 124,,
80283,B EC,226,2,,Prin Of Accountng I,4,1:15 PM - 3:05 PM,T R,"Tomal, Annette H.",MSC 124,,
80284,B EC,229,0,B,Mgmt Info Systems,2,11:15 AM - 1:05 PM,T R,"Johnson, Stephen D.",MEY 133,,
80285,B EC,341,1,,Principles of Marketing,4,9:20 AM - 10:30 AM,M W F,"Stolze, Hannah J.",BGC 134,,
80286,B EC,341,2,,Principles of Marketing,4,12:55 PM - 2:05 PM,M W F,"Stolze, Hannah J.",BGC 134,,
80287,B EC,342,0,,Principles of Management,4,11:35 AM - 12:45 PM,M W F,"Lee, Min-Dong Paul",MSC 302,,
80289,B EC,367,1,,Principles of Finance,4,8:00 AM - 9:10 AM,M W F,"Norton, Seth W.",MSC 302,,
80290,B EC,367,2,,Principles of Finance,4,9:20 AM - 10:30 AM,M W F,"Norton, Seth W.",MSC 302,,
80293,B EC,493,1,,Business Strategy,2,8:30 AM - 10:20 AM,R,"Norton, Seth W.",MSC 304,,
80294,B EC,493,2,,Business Strategy,2,11:15 AM - 1:05 PM,R,"Norton, Seth W.",MSC 304,,
80295,B EC,494,1,,Business Seminar,2,8:30 AM - 10:20 AM,T,"Bretsen, Stephen N.",MSC 304,,
80296,B EC,494,2,,Business Seminar,2,11:15 AM - 1:05 PM,T,"Bretsen, Stephen N.",MSC 304,,
80298,B EC,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80299,B EC,496,0,,Internship,1 TO 4,TBA,,"Bretsen, Stephen N.",,,
