CRN,Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Room,Fees,Attributes
80300,B EC,321,1,,Statistics,4,11:15 AM - 1:05 PM,T R,"Makaudze, Ephias M.",MSC 302,,
80302,B EC,382,1,A,"Digital MarketingPre-req:  B EC 341",2,6:30 PM - 10:00 PM,M,"Grant, Christopher J.",MSC 124,75,
80304,ECON,211,4,,Principles of Microeconomics,4,2:15 PM - 3:25 PM,M W F,"Forsstrom, Matthew P.",MSC 103,,SI
80305,ECON,211,3,,Principles of Microeconomics,4,12:55 PM - 2:05 PM,M W F,"Forsstrom, Matthew P.",MSC 103,,SI
80307,ECON,211,1,,Principles of Microeconomics,4,12:55 PM - 2:05 PM,M W F,"Cook, Jeremy A.",MSC 124,,SI
80308,ECON,211,2,,Principles of Microeconomics,4,2:15 PM - 3:25 PM,M W F,"Cook, Jeremy A.",MSC 124,,SI
80309,ECON,212,1,B,Principles of Macroeconomics,2,8:00 AM - 9:10 AM,M W F,STAFF,MSC 124,,
80310,ECON,212,2,B,Principles of Macroeconomics,2,2:15 PM - 3:25 PM,M W F,"Guo, Nick L.",MSC 105,,
80314,ECON,366,0,,International Economics,4,2:15 PM - 3:25 PM,M W F,"Hill, Enoch S.",MSC 122,,
80315,ECON,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80319,ENGR,101,0,,Intro to Engineering,1,1:15 PM - 2:20 PM,T,"Hsu, David D.",MEY 355,,
80321,ENGR,201,0,,ENGR Mechanics 1 - Statics,4,9:20 AM - 10:30 AM,M W F,"Hsu, David D.",MEY 014B,,
80322,PHYS,221,0,,General Physics I,4,11:35 AM - 12:45 PM,M W F,"Whitney, Heather M.",MEY 335,,SP
80323,PHYS,221L,1,,General Physics Lab I,0,7:30 AM - 10:20 AM,T,"Whitney, Joshua F.",MEY 335,,
80324,PHYS,221L,2,,General Physics Lab I,0,1:15 PM - 4:05 PM,T,"Whitney, Joshua F.",MEY 335,,
80325,PHYS,231,1,,Introductory Physics I,4,8:00 AM - 9:10 AM,M W F,"Craig, Darren J.",MEY 335,,SP
80326,PHYS,231,2,,Introductory Physics I,4,9:20 AM - 10:30 AM,M W F,"Schroeder, James W.",MEY 371,,SP
80327,PHYS,231L,1,,Introductory Physics Lab I,0,6:45 PM - 9:35 PM,W,Blaauw & Craig,MEY 335,,
80328,PHYS,231L,2,,Introductory Physics Lab I,0,7:30 AM - 10:20 AM,R,"Schroeder, James W.",MEY 335,,
80329,PHYS,231L,3,,Introductory Physics Lab I,0,1:15 PM - 4:05 PM,R,"Pierson, Benjamin M.",MEY 335,,
80337,PHYS,334,1,A,Computer Modeling,2,12:55 PM - 2:05 PM,M W F,"Blaauw, Rhiannon C.",MEY 371,,
80338,PHYS,334,2,A,Computer Modeling,2,2:15 PM - 3:25 PM,M W F,"Blaauw, Rhiannon C.",MEY 371,,
80339,ENGR,223,0,,Strength of Materials,4,12:55 PM - 2:05 PM,M W F,"Hsu, David D.",MEY 014B,,
80341,PHYS,351,0,B,Analog Electronics,2,2:15 PM - 3:25 PM,M W F,"Craig, Darren J.",MEY 357,,
80342,PHYS,351L,1,B,Electronics Lab,0,1:15 PM - 4:05 PM,R,"Craig, Darren J.",MEY 365,65,
80347,CORE,101,16,,FYS-Cosmology & the Good Life,4,2:15 PM - 3:25 PM,M W F,"Bishop, Robert C.",MEY 355,,
80349,C E,111,0,A,Foundations of Ministry,2,11:35 AM - 12:45 PM,M W F,"Root, Gerald R.",BGC 138,,
80353,C E,222,0,,Transformational Education,4,9:20 AM - 10:30 AM,M W F,"Larson, Mimi L.",BGC 140,,
80354,C E,259,1,,C.S. Lewis & Spiritual Form,2,6:30 PM - 8:20 PM,M,"Root, Gerald R.",BGC 132,,
80355,C E,223,0,,Human Development & Ministry,4,11:35 AM - 12:45 PM,M W F,"Larson, Mimi L.",BGC 140,,SI
80356,C E,333,0,,Student Care in College Min,2,3:15 PM - 5:05 PM,R,"McRay, Barrett W.",BGC 136,,
80358,C E,421,0,,Philosophy of Ministry,4,1:15 PM - 3:05 PM,T R,"Setran, David P.",BGC 140,,
80361,C E,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80362,C E,496,0,,Internship,0,TBA,,"Haase, Daniel T.",,,
80364,CFM,512,0,,Bible in Ministry,2,1:15 PM - 3:05 PM,R,"Schwanda, Tom",BGC 254,,
80367,CFM,514,0,,Ministry in Culture,2,8:30 AM - 10:20 AM,R,"Haase, Daniel T.",BGC 250,,
80368,CFM,514,2,A,Ministry in Culture,2,10:30 AM - 12:00 PM,F,"Karianjahi, Muhia M.",,,
80369,CFM,516,0,,Teaching for Transformation,4,6:30 PM - 10:00 PM,M,"Larson, Mimi L.",BGC 140,,
80370,CFM,521,1,,"Personal Spiritual FormationRequired retreat.",2,11:15 AM - 1:05 PM,R,"May, Scottie",BGC 254,30,
80371,CFM,521,2HY,,Personal Spiritual Formation,2,10:00 AM - 12:00 PM,F,"Karianjahi, Muhia M.",,30,
80375,CFM,691,0,,Concentration Mentoring Grp,0,TBA,,"Setran, David P.",,,
80376,CFM,692,0,,Creative Project,2,TBA,,STAFF,,,
80377,CFM,693,0,,Ministry Practicum,0,TBA,,"Haase, Daniel T.",,,
80378,CFM,695,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80379,CFM,698,0,,Applied Thesis/Thesis,2,TBA,,STAFF,,,
80380,CFM,699,0,,Final Project Continuation,0,TBA,,STAFF,,50,
80381,CORE,101,18,,"FYS: Soul, Mind or Brain?",4,8:30 AM - 10:20 AM,T R,"Struthers, William M.",BGC 263,,
80382,CORE,101,19,,FYS-Spiritual Practices,4,11:15 AM - 1:05 PM,T R,"Wilhoit, James C.",BGC 134,,
80384,C E,231,0,B,Evangelism,2,11:35 AM - 12:45 PM,M W F,"Root, Gerald R.",BGC 138,,
80387,CFM,663,0,B,Leadership Dev't Outdoor Minis,4,8:30 AM - 5:00 PM,MTWRF,"Ribbe, Robert E.",,,
80389,CMHC,611,0,,Foundations of Integration I,1,11:45 AM - 12:45 PM,W,"Butman, Richard E.",BGC 250,,
80390,CMHC,618,1,,Research Design,3,8:30 AM - 11:20 AM,M,"Huttenlock, Terry L.",BGC 250,,
80392,CMHC,621,0,,Counseling Skills & Techniques,2,8:30 AM - 10:20 AM,W,"Schultz, Tammy",BGC 250,,
80393,CMHC,621L,0,,Basic Counseling Skills Lab,1,TBA,,"Schultz, Tammy",,,
80394,CMHC,622,0,,Clin Counsel Theory Practice I,3,12:55 PM - 3:45 PM,W,"Kiteki, Bellah N.",BGC 250,,
80395,CMHC,624,0,,Issues/Ethics Prof Practice,3,12:30 PM - 3:20 PM,M,"Schultz, Tammy",BGC 250,480,
80397,CMHC,641,0,,Assessment in Counseling,3,12:30 PM - 3:20 PM,M,STAFF,BGC 252,,
80398,CMHC,649,0,,Multicultural & Soc Advocacy,3,8:30 AM - 11:20 AM,M,"Kiteki, Bellah N.",BGC 252,,
80399,CMHC,692,1,,Graduate Counseling Practicum,3,3:30 PM - 5:00 PM,M,"Butman, Richard E.",BGC M231,,
80400,CMHC,692,2,,Graduate Counseling Practicum,3,3:30 PM - 5:00 PM,M,"Kiteki, Bellah N.",BGC M229,,
80401,CMHC,692,3,,Graduate Counseling Practicum,3,3:30 PM - 5:00 PM,M,"Schultz, Tammy",BGC M228,,
80402,CMHC,692,4,,Graduate Counseling Practicum,3,3:30 PM - 5:00 PM,M,"Brown, Eric M.",BGC M209,,
80403,CMHC,696,1,,Graduate Internship,3 OR 6,3:30 PM - 5:00 PM,M,"Butman, Richard E.",BGC M231,,
80404,CMHC,696,2,,Graduate Internship,3 OR 6,3:30 PM - 5:00 PM,M,"Kiteki, Bellah N.",BGC M229,,
80405,CMHC,696,3,,Graduate Internship,3 OR 6,3:30 PM - 5:00 PM,M,"Schultz, Tammy",BGC M228,,
80406,MAFT,631,0,,Ind Family Life Cycle Dev,3,8:00 AM - 10:50 AM,R,"Hull, James W.",BGC 252,,
80407,MAFT,634,0,,MFTI: Theoretical Foundations,3,1:10 PM - 4:00 PM,W,"Yoo, Hana",BGC 254,,
80409,MAFT,642,0,,Psychopathology & the Family,3,2:00 PM - 4:50 PM,F,"Buhrt, Timothy R.",BGC 250,,
80410,MAFT,645,0,,Syst Int w/ Children & Adol,3,1:10 PM - 4:00 PM,W,"Johnson, Jacob A.",BGC 253,,
80411,MAFT,661,1,,Personal/Prof Dev't Group I,0,10:30 AM - 11:50 AM,F,"Johnson, Jacob A.",BGC 250,,
80412,MAFT,661,2,,Personal/Prof Dev't Group I,0,10:30 AM - 11:50 AM,F,"Yoo, Hana",BGC M209,,
80413,MAFT,661,3,,Personal/Prof Dev't Group I,0,11:40 AM - 1:00 PM,W,"Norton, David J.",BGC M259,,
80415,MAFT,663,1,,Personal/Prof Dev't Group III,0,9:50 AM - 11:10 AM,T,"Johnson, Jacob A.",BGC 252,,
80416,MAFT,663,2,,Personal/Prof Dev't Group III,0,9:00 AM - 10:20 AM,W,"Norton, David J.",BGC M209,,
80417,MAFT,663,3,,Personal/Prof Dev't Group III,0,8:20 AM - 9:40 AM,T,"Hanlon, Matthew J.",BGC 002,,
80418,MAFT,691,0,,Advanced Clinical Practicum,1,9:10 AM - 10:10 AM,W,"Johnson, Jacob A.",BGC 252,,
80419,MAFT,696,1,,Clinical Pre-Practicum I,1,11:00 AM - 12:00 PM,R,"Yoo, Hana",BGC M231,,
80420,MAFT,696,2,,Clinical Pre-Practicum I,1,12:00 PM - 1:00 PM,F,"Watson, Terri S.",BGC 254,,
80421,MAFT,696,3,,Clinical Pre-Practicum I,1,1:05 PM - 2:05 PM,F,"Watson, Terri S.",BGC 254,,
80422,MAFT,698,1,,Clinical Practicum I,2,1:00 PM - 2:00 PM,F,"Johnson, Jacob A.",BGC M209,,
80423,MAFT,698,2,,Clinical Practicum I,2,11:40 AM - 12:40 PM,W,"Yoo, Hana",BGC M231,,
80424,MAFT,698,3,,Clinical Practicum I,2,1:00 PM - 2:00 PM,F,"Yoo, Hana",BGC M229,,
80425,MAFT,698,4,,Clinical Practicum I,2,11:40 AM - 12:40 PM,W,"Watson, Terri S.",BGC M229,,
80427,HIST,102,1,,EGP: Rise/Fall Imperial Japan,4,9:20 AM - 10:30 AM,M W F,"Kim, Hanmee N.",BLANCH 324,,"GP, HP"
80428,GEOG,211,0,A,General Geography,2,11:15 AM - 1:05 PM,T R,"Lovett, Carla K.",BLANCH 223,,
80429,HIST,102,2,,EGP:Memoir/History Middle East,4,11:35 AM - 12:45 PM,M W F,"Stringham, Noel C.",BLANCH 324,,"GP, HP"
80430,HIST,102,3,,EGP: The Holocaust,4,11:15 AM - 1:05 PM,T R,"Lundin, Matthew D.",BLANCH 324,,"GP, HP"
80431,HIST,102,4,,EGP: World History,4,1:15 PM - 3:05 PM,T R,"Lovett, Carla K.",BLANCH 339,,"GP, HP"
80434,HIST,102,6,,EGP: World History,4,8:30 AM - 10:20 AM,T R,"Lovett, Carla K.",BLANCH 339,,"GP, HP"
80436,HIST,311,0,,History of Philosophy,4,11:35 AM - 12:45 PM,M W F,"Wood, Adam N.",BLANCH 339,,
80437,HIST,348,0,,Revolutionary Europe,4,6:30 PM - 10:00 PM,M,"Lundin, Matthew D.",BLANCH 324,,
80439,HIST,334,0,,Modern East Asia,4,11:35 AM - 12:45 PM,M W F,"Kim, Hanmee N.",BLANCH 223,,
80441,HIST,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80442,HIST,496,0,,Internship,4,TBA,,STAFF,,,
80443,HIST,498,0,,Honors Tutorial,4,TBA,,STAFF,,,
80444,HIST,499,0,,Honors Thesis,4,TBA,,"McKenzie, Robert T.",,,
80445,CORE,101,20,,FYS-Diversity & Community,4,11:35 AM - 12:45 PM,M W F,"Harkrider, Melissa",BLANCH 273,,
80447,HIST,391,1,B,Religion/Health in US History,2,11:15 AM - 1:05 PM,T R,"Riddle, Jonathan D.",BLANCH 223,,
80454,PSYC,101,0,,"Introduction to PsychologyTues lec 1/2 of period;Psyc 101L req'd",4,11:15 AM - 1:05 PM,R,"Callender, Aimee A.",BGC 105 AUD,,SI
80455,PSYC,101L,1,,Intro To Psych Lab,0,12:15 PM - 1:05 PM,T,"Fort, Christin J.",BGC 105 AUD,,
80456,PSYC,101L,2,,Intro To Psych Lab,0,12:15 PM - 1:05 PM,T,"Callender, Aimee A.",BGC 252,,
80457,PSYC,101L,3,,Intro To Psych Lab,0,12:15 PM - 1:05 PM,T,"Hannah, Darlene B.",BGC 254,,
80458,PSYC,101L,4,,Intro To Psych Lab,0,12:15 PM - 1:05 PM,T,STAFF,BGC M209,,
80461,PSYC,241,0,,Social Psychology,4,1:15 PM - 3:05 PM,T R,"Hannah, Darlene B.",BGC 250,,SI
80464,PSYC,269,1,,Experimental Psychology,4,8:30 AM - 10:20 AM,T R,"Vessey, John T.",BGC M209,,
80465,PSYC,317,1,,Developmental Psychology,4,8:00 AM - 9:10 AM,M W F,"Hall, Sarah E.",BGC 134,,SI
80466,PSYC,317,2,,Developmental Psychology,4,11:35 AM - 12:45 PM,M W F,"Hall, Sarah E.",BGC 134,,SI
80467,PSYC,345,0,,Learning,4,12:55 PM - 2:05 PM,M W F,"Phinney, Raymond",BGC M228,,
80468,PSYC,348,1,,Abnormal Psychology,4,9:20 AM - 10:30 AM,M W F,"Eveleigh, Elisha",BGC 012,,
80469,PSYC,348,2,,Abnormal Psychology,4,6:30 PM - 10:00 PM,T,"Butman, Richard E.",BGC M228,,
80470,PSYC,352,0,,Contemporary Clinical Psyc,4,9:20 AM - 10:30 AM,M W F,"Hall, Sarah E.",BGC M228,,
80472,PSYC,481,8,,Current Issues-School Psych,2,1:15 PM - 3:05 PM,T,"Eveleigh, Elisha",BGC M229,,
80475,PSYC,494,0,,Personality Psychology,4,2:15 PM - 3:25 PM,M W F,"Fort, Christin J.",BGC M228,,
80476,PSYC,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80477,PSYC,496,0,,Internship,4 OR 8,TBA,,"Eveleigh, Elisha",,,
80478,PSYC,497,0,,Collaborative Research Groups,2 OR 4,TBA,,"Eveleigh, Elisha",,,
80479,PSYC,499,0,,Honors Thesis,4 OR 8,TBA,,STAFF,,,
80481,PSYC,351,0,,Cognition,4,11:35 AM - 12:45 PM,M W F,"Callender, Aimee A.",BGC M228,,
80482,CORE,101,21,,FYS-Who Am I?,4,11:35 AM - 12:45 PM,M W F,"Eveleigh, Elisha",BGC 253,,
80483,CORE,101,22,,FYS-Memories & Good Life,4,9:20 AM - 10:30 AM,M W F,"Callender, Aimee A.",MEY 355,,
80484,ENGL,111,1,,SWL: Spiritual Battle in Lit,4,12:55 PM - 2:05 PM,M W F,"Dunn-Hensley, Susan M.",BLANCH 139,,LE
80485,ENGL,111,2,,SWL: Classics-Shakespeare,4,2:15 PM - 3:25 PM,M W F,"Galbraith, Jeffrey R.",BLANCH 139,,LE
80488,ENGL,115,1,,Modern Global Literature,4,9:20 AM - 10:30 AM,M W F,"Dunn-Hensley, Susan M.",BLANCH 222,,LE
80489,ENGL,215,1,,Classical/Early British Lit,4,9:20 AM - 10:30 AM,M W F,"Weber, Benjamin D.",BLANCH 322,,LE
80490,ENGL,215,2,,Classical/Early British Lit,4,1:15 PM - 3:05 PM,T R,"Gibson, Richard H.",BLANCH 322,,LE
80491,ENGL,215,3,,Classical/Early British Lit,4,11:15 AM - 1:05 PM,T R,"Gibson, Richard H.",BLANCH 322,,LE
80492,ENGL,225,0,,Topical Seminar:Poetry,4,8:30 AM - 10:20 AM,T R,"Nonaka, Miho",BLANCH 323,,
80493,ENGL,326,0,A,Children's Lit,2,6:30 PM - 10:00 PM,R,"Dunn-Hensley, Susan M.",BLANCH 222,,
80497,ENGL,494,0,,Senior Seminar,4,9:20 AM - 10:30 AM,M W F,"Bieber Lake, Christina",BLANCH 323,,
80498,ENGL,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80499,ENGL,496,0,,Literature Internship,1 TO 4,TBA,,STAFF,,,
80500,ENGW,103,1,,Composition and Research,4,11:15 AM - 1:05 PM,T R,"Gibson, Alison R.",JENKS 206,,COMP
80502,ENGW,103,3,,Composition and Research,4,3:15 PM - 5:05 PM,T R,"Gibson, Alison R.",BLANCH 322,,COMP
80503,ENGW,103,4,,Composition and Research,4,11:35 AM - 12:45 PM,M W F,"Weber, Benjamin D.",BLANCH 124,,COMP
80504,ENGW,103,5,,Composition and Research,4,12:55 PM - 2:05 PM,M W F,"Long, Abigail H.",BLANCH 324,,COMP
80505,ENGW,103,6,,Composition and Research,4,11:15 AM - 1:05 PM,T R,"Sasser, Kimberly A.",MEY 184,,COMP
80506,ENGW,103,7,,Composition and Research,4,8:30 AM - 10:20 AM,T R,"Lapeyre, Christopher A.",BLANCH 125,,COMP
80507,ENGW,103,8,,Composition and Research,4,1:15 PM - 3:05 PM,T R,"Lapeyre, Christopher A.",BLANCH 324,,COMP
80509,ENGW,104,2,A,Composition and Research,2,9:20 AM - 10:30 AM,M W F,"Ryken, Leland",BLANCH 272,,COMP
80510,ENGW,104,3,B,Composition and Research,2,9:20 AM - 10:30 AM,M W F,"Ryken, Leland",BLANCH 272,,COMP
80511,ENGW,104,4,B,Composition and Research,2,2:15 PM - 3:25 PM,M W F,"Martindale, H. Wayne",BLANCH 124,,COMP
80512,ENGW,213,1,,Creative Writing,4,2:15 PM - 3:25 PM,M W F,"Bratcher, Andrew B.",BLANCH 323,,
80513,ENGW,213,2,,Creative Writing,4,1:15 PM - 3:05 PM,T R,"Nonaka, Miho",BLANCH 323,,
80515,ENGW,494,0,,Senior Seminar in Writing,4,11:15 AM - 1:05 PM,T R,"Mazzarella, Nicole",BLANCH 323,,
80516,ENGW,495,0,,Writing Projects,1 TO 4,TBA,,STAFF,,,
80517,ENGW,496,0,,Writing Internship,1 TO 4,TBA,,STAFF,,,
80520,ENGL,342,0,,Am Lit:Realism To Modernism,4,1:15 PM - 3:05 PM,T R,"Kriner, Tiffany E.",BLANCH 272,,
80523,ENGL,385,1,A,C.S. Lewis,2,6:30 PM - 10:00 PM,T,"Martindale, H. Wayne",BLANCH 222,,
80528,ENGW,332,0,,Creative Non-Fiction,4,9:20 AM - 10:30 AM,M W F,"Bratcher, Andrew B.",BLANCH 440,,
80530,CORE,101,23,,FYS-What is Justice?,4,8:30 AM - 10:20 AM,T R,"Beitler, James E.",BLANCH 139,,
80533,CORE,101,26,,FYS-What is an Individual?,4,11:35 AM - 12:45 PM,M W F,"Galbraith, Jeffrey R.",BLANCH 440,,
80535,CHIN,101,1,,"Elementary Chinese IMinimal/no prior Chinese",4,11:35 AM - 12:45 PM,M W F,"Wang, Rose",MSC 105,,
80536,CHIN,101,2,,"Elementary Chinese I1 Year HS Chinese/ heritage speaker",4,12:55 PM - 2:05 PM,M W F,"Wang, Rose",MSC 105,,
80538,CHIN,201,0,,Intermediate Mandarin Chinese,4,12:55 PM - 2:05 PM,M W F,"Zhai, Wenyang",ARM 120,,COMP
80542,FREN,101,0,,Elementary French I,4,12:55 PM - 2:05 PM,M W F,"Forsberg, Amy Y.",BLANCH 222,,
80543,FREN,103,1,,Accel Elem French,4,8:00 AM - 9:10 AM,M W F,"Savage, Alan D.",SCHELL 202,,
80544,FREN,201,1,,Intermediate French,4,11:35 AM - 12:45 PM,M W F,"Abel, Sheri L.",SCHELL 202,,COMP
80545,FREN,201,2,,Intermediate French,4,9:20 AM - 10:30 AM,M W F,"Abel, Sheri L.",SCHELL 201,,COMP
80546,FREN,331,1,,French Conversation,4,12:55 PM - 2:05 PM,M W F,"Abel, Sheri L.",SCHELL 202,25,
80549,FREN,371,0,,Meth of Teach Foreign Language,4,9:20 AM - 10:30 AM,M W F,"Barlar, Sharenda H.",WYN 307,,
80550,FREN,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80551,FREN,496,0,,Internship,2 OR 4,TBA,,STAFF,,,
80552,GERM,101,0,,Elementary German I,4,8:00 AM - 9:10 AM,M W F,"Shaffer, Clinton S.",MSC 105,,
80554,GERM,201,0,,Intermediate German,4,12:55 PM - 2:05 PM,M W F,"Gascho, Bethel L.",MSC 122,,COMP
80555,GERM,371,0,,Meth Teach Foreign Language,4,9:20 AM - 10:30 AM,M W F,"Barlar, Sharenda H.",WYN 307,,
80556,GERM,341,0,,Contemp German Culture,4,12:55 PM - 2:05 PM,M W F,"Shaffer, Clinton S.",WYN 307,25,
80557,GERM,372,0,,German for Reading,4,3:35 PM - 5:25 PM,W F,"Shaffer, Clinton S.",MSC 103,,
80560,GERM,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80561,GERM,496,0,,Internship,2 OR 4,TBA,,STAFF,,,
80562,GREK,101,1,,Elementary Greek I,4,8:00 AM - 9:10 AM,M W F,"Penney, Douglas L.",MSC 120,,
80563,GREK,101,2,,Elementary Greek I,4,9:20 AM - 10:30 AM,M W F,"Laansma, Jon C.",MSC 105,,
80564,GREK,101,3,,Elementary Greek I,4,12:55 PM - 2:05 PM,M W F,"Penney, Douglas L.",MSC 120,,
80565,GREK,201,1,,Intermediate Greek,4,9:20 AM - 10:30 AM,M W F,"Penney, Douglas L.",MSC 120,,COMP
80566,GREK,201,2,,Intermediate Greek,4,2:15 PM - 3:25 PM,M W F,"Penney, Douglas L.",MSC 120,,COMP
80569,GREK,495,0,,Independent Reading,1 TO 4,TBA,,STAFF,,,
80570,HEBR,301,1,,Elementary Hebrew I,4,12:55 PM - 2:05 PM,M W F,"Abernethy, Andrew T.",BGC 012,,
80572,HEBR,401,0,,Intermediate Hebrew,4,1:15 PM - 3:05 PM,T R,"Buster, Aubrey E.",BGC 130,,COMP
80573,HEBR,495,0,,Independent Reading/Rsrch,1 TO 4,TBA,,STAFF,,,
80574,LATN,101,0,,Elementary Latin I,4,9:20 AM - 10:30 AM,M W F,"Loney, Alexander C.",JENKS 204,,
80575,LATN,201,0,,Intermediate Latin,4,11:35 AM - 12:45 PM,M W F,"Loney, Alexander C.",MSC 120,,COMP
80576,LATN,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
80577,SPAN,101,1,,Elementary Spanish,4,11:35 AM - 12:45 PM,M W F,"Barlar, Sharenda H.",SCHELL 201,,
80578,SPAN,101,2,,Elementary Spanish,4,2:15 PM - 3:25 PM,M W F,"Barlar, Sharenda H.",SCHELL 201,,
80579,SPAN,103,1,,Accel Elem Spanish,4,8:00 AM - 9:10 AM,M W F,"Gates, Stephanie R.",JENKS 204,,
80580,SPAN,103,2,,Accel Elem Spanish,4,11:35 AM - 12:45 PM,M W F,"Gates, Stephanie R.",ARM 246,,
80581,SPAN,103,3,,Accel Elem Spanish,4,11:35 AM - 12:45 PM,M W F,"Toly, Rebecca A.",JENKS 205,,
80582,SPAN,103,4,,Accel Elem Spanish,4,12:55 PM - 2:05 PM,M W F,"Toly, Rebecca A.",JENKS 205,,
80584,SPAN,201,1,,Intermediate Spanish,4,8:00 AM - 9:10 AM,M W F,"Toly, Rebecca A.",JENKS 205,,COMP
80585,SPAN,201,2,,Intermediate Spanish,4,8:00 AM - 9:10 AM,M W F,"Klingler, Timothy M.",SCHELL 201,,COMP
80586,SPAN,201,3,,Intermediate Spanish,4,9:20 AM - 10:30 AM,M W F,"Toly, Rebecca A.",JENKS 205,,COMP
80587,SPAN,201,4,,Intermediate Spanish,4,12:55 PM - 2:05 PM,M W F,"Klingler, Timothy M.",ARM 145,,COMP
80588,SPAN,201,5,,Intermediate Spanish,4,8:30 AM - 10:20 AM,T R,"Soerens, Diana M.",SCHELL 202,,COMP
80589,SPAN,201,6,,Intermediate Spanish,4,11:15 AM - 1:05 PM,T R,"Soerens, Diana M.",SCHELL 202,,COMP
80590,SPAN,331,1,,Spanish Conversation,4,9:20 AM - 10:30 AM,M W F,"Quiroa, Nestor I.",JENKS 206,25,
80591,SPAN,331,2,,Spanish Conversation,4,11:35 AM - 12:45 PM,M W F,"Quiroa, Nestor I.",JENKS 206,25,
80592,SPAN,331,3,,Spanish Conversation,4,12:55 PM - 2:05 PM,M W F,"Barlar, Sharenda H.",SCHELL 201,25,
80593,SPAN,331,4,,Spanish Conversation,4,2:15 PM - 3:25 PM,M W F,"Hawthorne Klingler, L.",ARM 120,25,
80594,SPAN,332,1,,Adv Grammar And Composition,4,9:20 AM - 10:30 AM,M W F,"Kepner, Christine G.",WYN 302,,
80595,SPAN,332,2,,Adv Grammar And Composition,4,12:55 PM - 2:05 PM,M W F,"Gates, Stephanie R.",JENKS 206,,
80596,SPAN,335,0,,Latin Am Culture/Civilization,4,11:35 AM - 12:45 PM,M W F,"Klingler, Timothy M.",ARM 120,,GP
80598,SPAN,337,0,,Spanish American Literature,4,2:15 PM - 3:25 PM,M W F,"Quiroa, Nestor I.",JENKS 206,,"GP, LE"
